Yayınlandığı Tarih,Yayınlandığı Gün,Geçerli Olduğu Tarih,Geçerli Olduğu Gün,Kur,Döviz Alış,Döviz Satış
02.01.2018,Sali,03.01.2018,Carsamba,USD,3.7652,3.7719
02.01.2018,Sali,03.01.2018,Carsamba,AUD,2.943,2.9622
02.01.2018,Sali,03.01.2018,Carsamba,DKK,0.60862,0.61161
02.01.2018,Sali,03.01.2018,Carsamba,EUR,4.5375,4.5457
02.01.2018,Sali,03.01.2018,Carsamba,GBP,5.091,5.1175
02.01.2018,Sali,03.01.2018,Carsamba,CHF,3.8635,3.8883
02.01.2018,Sali,03.01.2018,Carsamba,SEK,0.45978,0.46454
02.01.2018,Sali,03.01.2018,Carsamba,CAD,3.0001,3.0137
02.01.2018,Sali,03.01.2018,Carsamba,KWD,12.4217,12.5842
02.01.2018,Sali,03.01.2018,Carsamba,NOK,0.46191,0.46501
02.01.2018,Sali,03.01.2018,Carsamba,SAR,1.004,1.0058
02.01.2018,Sali,03.01.2018,Carsamba,JPY,3.3422,3.3643
02.01.2018,Sali,03.01.2018,Carsamba,BGN,2.3068,2.337
02.01.2018,Sali,03.01.2018,Carsamba,RON,0.96311,0.97572
02.01.2018,Sali,03.01.2018,Carsamba,RUB,0.06522,0.06607
02.01.2018,Sali,03.01.2018,Carsamba,IRR,0.01038,0.01052
02.01.2018,Sali,03.01.2018,Carsamba,CNY,0.57649,0.58403
02.01.2018,Sali,03.01.2018,Carsamba,PKR,0.03382,0.03426
03.01.2018,Carsamba,04.01.2018,Persembe,USD,3.7617,3.7685
03.01.2018,Carsamba,04.01.2018,Persembe,AUD,2.938,2.9571
03.01.2018,Carsamba,04.01.2018,Persembe,DKK,0.60712,0.6101
03.01.2018,Carsamba,04.01.2018,Persembe,EUR,4.5267,4.5349
03.01.2018,Carsamba,04.01.2018,Persembe,GBP,5.1014,5.128
03.01.2018,Carsamba,04.01.2018,Persembe,CHF,3.8551,3.8799
03.01.2018,Carsamba,04.01.2018,Persembe,SEK,0.4582,0.46294
03.01.2018,Carsamba,04.01.2018,Persembe,CAD,3.0004,3.014
03.01.2018,Carsamba,04.01.2018,Persembe,KWD,12.4089,12.5712
03.01.2018,Carsamba,04.01.2018,Persembe,NOK,0.4622,0.46531
03.01.2018,Carsamba,04.01.2018,Persembe,SAR,1.0031,1.0049
03.01.2018,Carsamba,04.01.2018,Persembe,JPY,3.3417,3.3638
03.01.2018,Carsamba,04.01.2018,Persembe,BGN,2.3013,2.3314
03.01.2018,Carsamba,04.01.2018,Persembe,RON,0.96941,0.9821
03.01.2018,Carsamba,04.01.2018,Persembe,RUB,0.06513,0.06598
03.01.2018,Carsamba,04.01.2018,Persembe,IRR,0.01037,0.01051
03.01.2018,Carsamba,04.01.2018,Persembe,CNY,0.5753,0.58283
03.01.2018,Carsamba,04.01.2018,Persembe,PKR,0.03378,0.03422
04.01.2018,Persembe,05.01.2018,Cuma,USD,3.76,3.7668
04.01.2018,Persembe,05.01.2018,Cuma,AUD,2.9432,2.9624
04.01.2018,Persembe,05.01.2018,Cuma,DKK,0.60712,0.61011
04.01.2018,Persembe,05.01.2018,Cuma,EUR,4.5269,4.5351
04.01.2018,Persembe,05.01.2018,Cuma,GBP,5.0818,5.1083
04.01.2018,Persembe,05.01.2018,Cuma,CHF,3.8423,3.867
04.01.2018,Persembe,05.01.2018,Cuma,SEK,0.45912,0.46387
